region_url,ville_url,ville,agences_trouvees_page,agences_nouvelles_sauvegardees
https://www.credit-agricole.fr/professionnel/agence/alpes-provence.html,https://www.credit-agricole.fr/professionnel/agence/alpes-provence/ville/aubagne-13400.html,FIN DE CONNEXION,0,0
https://www.credit-agricole.fr/professionnel/agence/alpes-provence.html,https://www.credit-agricole.fr/professionnel/agence/alpes-provence/ville/auriol-13390.html,FIN DE CONNEXION,0,0
https://www.credit-agricole.fr/professionnel/agence/alpes-provence.html,https://www.credit-agricole.fr/professionnel/agence/alpes-provence/ville/avignon-84000.html,Avignon 84000.html,8,8
https://www.credit-agricole.fr/professionnel/agence/alpes-provence.html,https://www.credit-agricole.fr/professionnel/agence/alpes-provence/ville/beaumes-de-venise-84190.html,Beaumes De Venise 84190.html,0,0
https://www.credit-agricole.fr/professionnel/agence/alpes-provence.html,https://www.credit-agricole.fr/professionnel/agence/alpes-provence/ville/bedarrides-84370.html,Bedarrides 84370.html,1,1
https://www.credit-agricole.fr/professionnel/agence/alpes-provence.html,https://www.credit-agricole.fr/professionnel/agence/alpes-provence/ville/bedoin-84410.html,Bedoin 84410.html,1,1
https://www.credit-agricole.fr/professionnel/agence/alpes-provence.html,https://www.credit-agricole.fr/professionnel/agence/alpes-provence/ville/berre-l-etang-13130.html,Berre L Etang 13130.html,1,1
https://www.credit-agricole.fr/professionnel/agence/alpes-provence.html,https://www.credit-agricole.fr/professionnel/agence/alpes-provence/ville/bollene-84500.html,Bollene 84500.html,1,1
https://www.credit-agricole.fr/professionnel/agence/alpes-provence.html,https://www.credit-agricole.fr/professionnel/agence/alpes-provence/ville/bouc-bel-air-13320.html,Bouc Bel Air 13320.html,1,1
https://www.credit-agricole.fr/professionnel/agence/alpes-provence.html,https://www.credit-agricole.fr/professionnel/agence/alpes-provence/ville/briancon-05101.html,Briancon 05101.html,1,1
https://www.credit-agricole.fr/professionnel/agence/alpes-provence.html,https://www.credit-agricole.fr/professionnel/agence/alpes-provence/ville/cabries-13480.html,Cabries 13480.html,1,1
https://www.credit-agricole.fr/professionnel/agence/alpes-provence.html,https://www.credit-agricole.fr/professionnel/agence/alpes-provence/ville/cadenet-84160.html,Cadenet 84160.html,1,1
https://www.credit-agricole.fr/professionnel/agence/alpes-provence.html,https://www.credit-agricole.fr/professionnel/agence/alpes-provence/ville/camaret-sur-aigues-84850.html,Camaret Sur Aigues 84850.html,1,1
https://www.credit-agricole.fr/professionnel/agence/alpes-provence.html,https://www.credit-agricole.fr/professionnel/agence/alpes-provence/ville/carpentras-84200.html,Carpentras 84200.html,2,2
https://www.credit-agricole.fr/professionnel/agence/alpes-provence.html,https://www.credit-agricole.fr/professionnel/agence/alpes-provence/ville/carry-le-rouet-13620.html,Carry Le Rouet 13620.html,1,1
https://www.credit-agricole.fr/professionnel/agence/alpes-provence.html,https://www.credit-agricole.fr/professionnel/agence/alpes-provence/ville/cassis-13260.html,Cassis 13260.html,1,1
https://www.credit-agricole.fr/professionnel/agence/alpes-provence.html,https://www.credit-agricole.fr/professionnel/agence/alpes-provence/ville/caumont-sur-durance-84510.html,Caumont Sur Durance 84510.html,1,1
https://www.credit-agricole.fr/professionnel/agence/alpes-provence.html,https://www.credit-agricole.fr/professionnel/agence/alpes-provence/ville/cavaillon-84300.html,Cavaillon 84300.html,3,3
https://www.credit-agricole.fr/professionnel/agence/alpes-provence.html,https://www.credit-agricole.fr/professionnel/agence/alpes-provence/ville/chateau-ville-vieille-05350.html,Chateau Ville Vieille 05350.html,1,1
https://www.credit-agricole.fr/professionnel/agence/alpes-provence.html,https://www.credit-agricole.fr/professionnel/agence/alpes-provence/ville/chateauneuf-du-pape-84230.html,Chateauneuf Du Pape 84230.html,1,1
https://www.credit-agricole.fr/professionnel/agence/alpes-provence.html,https://www.credit-agricole.fr/professionnel/agence/alpes-provence/ville/chateauneuf-les-martigues-13220.html,Chateauneuf Les Martigues 13220.html,1,1
